review,sentiment
"How @dialoglk responded to my complaint. Btw when I initially called customer service, they didn't want to give me a complaint reference number!! I had to force their supervisor to lodge the complaint in their system and give me the number!!! #ShitCustomerService https://t.co/KcbYIhKrRX",negative
Actually dialog services are very easy to use and superior customer service.,positive
signal transmission for country side and rural areas are better ,positive
@dialoglk Ok. Thank you for your possible reply ?Ÿ˜ç?Ÿ˜ç,positive
DudePointless @dialoglk Government should take actions on these thieves,negative
@dialoglk Straight up why you so slow?,negative
great service dialog,positive
The worst internet speed I've experienced through @dialoglk https://t.co/8jq0xfFtZ9,negative
high network coverage even for remote areas of the contry ,positive
"Nothing ever goes right with them. 1) I signed up for their 5g mobile broadband, got into a contract was sent a 5g modem/ router and them I found out there that there isn't any 5g coverage on the registered address. 2)I asked to port a phone number to their network as a new contract and they ended up replacing the number I already had with them. I lost my phone number. 3) I have a pay as you go line I use for travelling and every time I try to top it up I have issues and end up being charged twice but the credit is only applied once.",negative
"Thanks for that awesomely fast, efficient and accurate service, my local number has been set up and configured within 10 minutes, I can hardly believe it. Great work.",positive
dialog signal is very wide ,positive
So slow. #internet by @dialoglk in colombo suburbs (Lets say #Battaramulla),negative
"@dialoglk i have raised a complain on 5th March, related to signal (slow ness) now i have barely internet. Mobile signal also seems to be week. No 4G. Firsy fix this ASAP. As this is yr failure, i want a wave off from my bill, ref is 2-0002734759",negative
@AnjulaHettige @dialoglk @TRCSL Number portability should be brought in soon,neutral
Dialog are best avoided. We use them for broadband (City Fibre). When the contract was taken out it took countless phone calls and two months without internet to get it installed and setup. Now we’re moving. We gave them over three weeks notice and we’re assure that all was good and we’d be transferred and set up on the day of the move. Five days prior to the move my wife called to confirm and they hadn’t a clue. Five hours of phone calls to five different Dialog people and we still have no broadband. The are totally incompetent. The worst customer service you’ll ever receive!,negative
Great prices and super customer service support from Harrison Richards. Thank you Harrison,positive
the signal coverage is fabilous,positive
my appresiation for the good support ,positive
very easy to work with dialog ,positive
dialoglk Please contact me via 0718588082 and will provide more details. I have requested a temporary mobile router until this signal issue gets resolved and may I know the status of that request? Don’t make me leave the company,negative
Worst time management of the staffs. Some staffs taking token in personal preference and making other to wait too long.,negative
@AnjulaHettige @dialoglk @TRCSL Isnit only Dialog or even other operators also do the same,negative
Worst customer service @dialoglk https://t.co/63x2DYzegz,negative
"Yes! This is really good as no-one wants to be stuck with a single service provider forever!

@dialoglk sign me up to move over to @MobitelSriLanka https://t.co/jZYeoFcOcR",negative
@dialoglk why 3G is more speed than 4G?,negative
Dialog gives a very good packaged broadband service,positive
thank you dialog for the quik responds and the guidense,positive
@dialoglk Waited almost 1.5 hours on the call and it got disconnected without a solution. https://t.co/1UFwR98GzI,negative
No one understand how their billing is done & cant contact hotline or any single donkey who works at this to ask… do not recommend the service.,negative
Good staff,positive
"@dialoglk why are you guys so slow? 

Literally on the 3rd router because your previous 2 routers malfunctioned and were recalled. https://t.co/QlWBKtUVvD",negative
"The service was outstanding. I called on Sunday and they put me on a schedule for Wednesday. The technician came on time with all protective gear: mask, shoe cover. He was very professional, promptly explained everything that I did not have a question to ask. We have our hi-speed internet in 1 hour. This is great teamwork. Thank you and your customer service team.",positive
"@dialoglk Because of that what I'm requesting is to provide a temporary mobile router or any other solution to use internet connection without any problem until @dialoglk resolve initially mentioned ""Indian Signal Interference issue""",negative
Friendly staff. Quick and effective customer service. Excellent overall customer service,positive
Internet Throttling,negative
very powerful 4G network,positive
Internet speed is terrible,negative
Very poor customer service. Parking is troublesome,negative
"You’re invited! ?? Join ""The Future of Telecom Brands"", March 17th.Our Chief Client Officer, Luz Erhardt will host a panel conversation with telecom leaders from @dialoglk, @Turkcell and @Swisscom. Doors open at 12pm CET.Register??https://t.co/Qk6DOeFX1D https://t.co/awHgRm4uWW",neutral
"@CRdelaharpe @isionaria @dialoglk upload speeds are a bit shit,  but it is what it is",negative
Useless network ever used.. Not the damn dialog what was at it beginning.,negative
@dialoglk im tired lodging complaints ?Ÿ–• https://t.co/ytQB1VDwvB,negative
Doc990 made my life easier.,positive
Dialog you just lost a client increased my bill by 1.4% my contract is running out within couple of months.,negative
My router works perfectly fine now.Thank you.,positive
The service is reliable and decent relative to the area. It can handle Netflix and a steam download at once. I am happy with the service,positive
"When I complained about a issue, they told that their customer number for our area is too much to handle for their signal tower. That was a lame excuse.",negative
"This internet service is very good, fast to navigate and for everything, I recommend it totally to everybody. It is the best provider.",positive
Hello @dialoglk let me know what will you replaced for customer own 4G router. Brand new or repaired.,negative
I love the speed of the wifi it really helps to download the documents faster,positive
my dialog app is very helpful ,positive
"@WhatsApp and @instagram are down for everyone worldwide!

@dialoglk you guys didnâ€™t mess up this time. Good stuff.

#WhatsAppDown #InstagramDown #lka",negative
"Now that’s appreciation of hard work and burning the night oil , Thank you and till next time .. peace ?? #trainerlife #softskills #dialoglk #winnerworldwide #shuhaibali @ Access Towers 2 https://instagram.com/p/BogEvjhhb0Q/?utm_source=ig_twitter_share&igshid=14chls3zk21k1",positive
great benefits and bonuses,positive
 very happy with the level of professionalism and customer care. Thus far I could not fault Tamar and would be happy to recommend the company to others.,positive
"@CRdelaharpe @isionaria @dialoglk the second they add the youtube and netflix packages, bell 4g networks will grind to a stop",negative
Perfect cellular network in Sri Lanka,positive
You can buy apple phones and any other brands from Dialog.,positive
"Rubbish customer service, my broadband connection was not working and they said go on the broadband and get the broken broadband fixed. Maybe if my broadband was working I would have already used the broadband.",negative
dialog doesnt even deserve a 1 star..,negative
"Love the service, I have their 75 Mbps line. The only gripe I have is cost. I'm paying the same for 75 Mbps with Dialog that I paid with another company for 250 Mbps at my old residence.",positive
Had enough with #DialogLk #SriLanka,negative
"The switchover was completely seamless and now getting 75MBPS download and around 20 MBPS upload. The service is 100% reliable and I 100% recommend it.
",positive
The speed of the unlimited internet package is good,positive
"@dialoglk Extremely Poor Service In Jaffna 4G Broadband.

I am planning to cancel the connection and move to @SriLankaTelecom",negative
"The service here is effective and very fast. When compared with other service providers in Sri Lanka, the service of dialog is on par. But the connection issues are also prevalent. The building has enough parking space available, if you need to visit this place.",positive
Sent. Hope it will work perfectly fine,positive
The worst mobile phone service provider in Asia according to my experience. Dialog Axiata cheats their customers when billing and charging for services. WiFi coverage is not good. They love to add worthless services for your bill.,negative
@dialoglk No response until now https://t.co/qp0fhUEaDx,negative
The internet hardly go out and it works well when it's storming or wind day. In winter it works and is great to have for internet choice in my opinion.,positive
Their work and learn package is very useful,positive
Dialog has possibly the worst customer service I’ve ever experienced. They’ve treated me so incredibly badly.,negative
"@AnjulaHettige @dialoglk @TRCSL They told me that their servers can't handle the traffic and that's why it's slow.
They never slow the charges down but the internet.
A 30 second YouTube video takes more than 30 seconds to load",negative
Caved in and finally signed up for spotify premium not coz i wanted unlimited skips but coz of @dialoglk 's too long garbage ads. ?Ÿ?®,negative
"Dialog you ducking piece of shit 
@dialoglk https://t.co/WbQdGZd0K1",negative
"@dialoglk Couldnâ€™t wait anymore, switched to SLT 4G and got sufficient speed to work from home. Please keep me me posted once the issue is resolved so I can compare whatâ€™s the better service. ?Ÿ™‚ Thank you.",negative
...when your customers start to realize and learn how the technology works. And then they won't walk away easily without you giving them a truthful answer #dialogLk. As of now people are talking about your services. The horrible customer support your engineers are providing...,negative
@PO5IT1VE @dialoglk Yea but I want to check my 5G as well?Ÿ¥º,negative
@itZmeRakitha @dialoglk I had 4 and disconnected 3 of them already ?Ÿ˜‚?Ÿ˜‚,negative
Dialog is a great service provider and awesome customer service. They just need to work on moving fiber optics in outer areas and faster DSL service.,positive
They are giving great service to all customers,positive
Called the call centre and reserved a phone and when reached the Dialog Club Vision Counter they said it's not available...wasted my time...system needs to be upgraded.,negative
"@dialoglk unsurprisingly, itâ€™s the same info as before.",negative
@dialoglk @AnjulaHettige Yako every single person whoâ€™re using your shitty network is having these issues. Do something about it ?Ÿ???Ÿè?â€çâ™‚ï¸è for lies asking connection number. Crap,negative
Very reasonable rates.,positive
"obviously #dialoglk will pick the worst TV channel network, now they have a huge business opportunity that people will buy #dialogtv",negative
djharris32913 @dialoglk @MobitelSriLanka I use Mobitel as my primary mobile connection. 4G is far better than dialog. Thinking of changing HBB connection but didn’t find a good package from mobitel ??,negative
I hate when #dialoglk gives edge instead of hspa,negative
"I ended up paying the bill twice because of 
@dialoglk
  stupid mobile app. 
Payed it once and no feedback / didn't activate,  app freezed.
2nd Dialogempt was a success. But with a -2500lkr balance. Seriously #dialoglk?",negative
They are absolutely awful.,negative
I really like my Dialog U-verse internet. I have had it for over a week with no speed or service issues. The installer gave me his number and said if I ever have issues to call him and not tech support. Customer service needs work and the initial rep who set me up misled me on after promo pricing but its okay. I have no complaints. My wired connection runs at 43Mbps and wireless at 34Mbps. Great service. Glad to be rid of Mediacom and their slow 15Mbps service that never ran higher than 10Mbps at any time.,positive
At least they cant  cover the Colombo area.. Really bad customer service. Simple rain in a single place can mezz all of their master plans. Even now putting this comment using a Mobitel hots pot since Dialog is already being mezzed due to the rain.,negative
We now have 40 Mbps Internet and it is brilliant. You can't ask for better service than that.,positive
" Great app to check your balance, pay bills etc.",positive
"@dialoglk Why you guys havenâ€™t activated 5G trials for #Apple iPhone12 / iPhone12Pro?!

#Srilanka",negative
"@ravinhwg @Huawei @dialoglk @Airtel @hnbplc So, you are right to assume they collect data.

No, you are wrong to assume there is nothing we can do about it.

Got my point?",negative
the seasonal bonus data is fantastic,positive
"My rooter didn’t work properly.... wouldn’t connect to my app. Called customer service; the advisor kept me on the phone for 1 and a half hours. Didn’t resolve any problems, I was resolving some of the issues myself. Told him I wanted to leave as they didn’t provide what I paid for initially. ",negative
@AaqishFaizal @dialoglk @AnjulaHettige Horalog for a reason bro ?Ÿ˜Å,negative
"To be honest at 67 I am not the best with techs but the chap was very patient and took the time to talk me through the entire process , so well done to the chap who took my call , (sorry I don’t have your name ) keep up the good work",positive
@dialoglk Yes they contacted. But haven't provide a solution yet,negative
Sri Lanka's most horrible cellular network ever. ,negative
data speed is very fast ,positive
I will switch my number to your competitor.,negative
Getting reconnected more than 100 times in a day while using @dialoglk 's internet service. Have raised the complain thrice. SR Number 2-0002732511,negative
dialog 4G home broadband connection is very fast ,positive
"@ChrishanJay @dialoglk I have no idea what any of that means ?Ÿ‘€ but Dialogs connectivity does suck ?Ÿ?£ my data doesn't work when I'm downstairs in our house, wifi drops in and out when it wants. It's the worst. 

 @AnjulaHettige",negative
"One of the leading mobile service provider in sri lanka.
Well known mobile network for misuse people's money for various 3rd party services without even customers permission.
I wont Suggest this network for anyone",negative
They took more than 5 days to contact me regarding my internet issue. I had to make series of calls to get my work done.,negative
Customer service is generally easy to reach and resolve any issues.,positive
Zero customer service levels,negative
ravinhwg @Huawei @dialoglk @Airtel @hnbplc You are both right and wrong....,negative
"Hi @dialoglk, The Government has reduced the VAT & NBT for Telecommunication levy. You better reduces the bill amount rather than increasing the quota for Dialog Wi-Fi Users. We know how the 50GB Package becomes 66GB ??",negative
@dialoglk When? 3021? https://t.co/Df57afbOTs,negative
Deleted MyDialog app because meh redda hema welema karaki karaki thiyenne ,negative
Wifi speed is considerably good today,positive
@EnochianQueen @dialoglk Do they give podcasts in premium? Cause I can't find them in free version?Ÿ˜?,negative
Superb customer service,positive
throttling and disconnections,negative
"@dialoglk @dialoglk  no one called. Even in the morning i was experincing troubles. Seems like entire network has an issue, coz most my friends have replied to my post in FB telling they have the same issue but @dialoglk  is not responding",negative
"I am extremely disappointed in your customer loyalty I have always paid my bills on time after more than 8 years and thousands of pounds paid ,one missed bill I had no idea about,no communication with me just disconnected my home broadband and worst of all ,ruined my credit report witch I must say was excellent this is very bad customer service,I will not be recommending Dialog for loyalty",negative
"@dialoglk No need to DM. It took me 5 freaking days to lodge a complaint. SR No:  2-0002794387
Now take your apology, shove it up your sorry ass and fix this!",negative
"Made a complaint to @dialoglk regarding loss of 4g service. The response from the tech agent was ""interference from some Indian radio frequency signals"" on the Jaela tower &amp; ""it will rectify in a few days"".  I know that this can happen but unsure whether it is legit at this time.",negative
Technology introducer to Sri Lanka. Excellent service,positive
Why the fuck do you send these spam texts? You didnt respond to my previous concern either. #DialogLK #Spam,negative
@dialoglk App is super slow compared to previous. But lots of new features,negative
dialog sending spam emails via lankan e-ads to promote their skype customer care address.. lol.. #dialogsux #dialoglk #dialogaxiata #dialog,negative
"dialoglk What's with the awful connection and speed? It's been lagging for the past couple weeks and hit an all new low today, cannot even do a simple Google search without it crashing. Kindly fix this! #dialog #dialoglk",negative
"Service has never gone out, even during bad storms or hurricanes. DSL speed is very fast.",positive
 Odd that a communications company is so poor at allowing you to communicate with it.,negative
"During an online lecture I mean could there be a better time to have your WiFi go peekaboo? 

@dialoglk thank you for not bailing out on me :) https://t.co/rMBCd4v2LC",negative
@judemelaka @annethekat @dialoglk SLT wonâ€™t be any much better when it comes to cost of These packages,negative
Wow,positive
Fast and prompt service,positive
Issues in Dialog Internet Online Streaming,negative
@dialoglk The internet keeps dropping for very short periods.  This happened again at 10.15 for a minute at a crucial time of my online lecture. The complaint made on 20th August 2020 (Ref.2-0001807480) is still pending. This is very disappointing.,negative
"Superb service, service from heart",positive
wifi speed is great,positive
they give us a proper  coverage,positive
What hell is going on with dialog broadband @dialoglk ?,negative
"@Buddhikamn @dialoglk Exactly what my theory is, we must get the service that we pay for",positive
"#tikirimaarie @dialoglk This struggle is real.I205 What's worse is we can't cpntact them directly?Ÿ˜ê
Dia ekka kathakragnnalu?Ÿ˜’",negative
Satisfied with the internet speed,positive
Switched from dialoglk Home Broadband to Mobitel Broadband. Difference in speed is just mind blowing. ,negative
They are using advanced technology at their premises.,positive
Thank you for solving my issue,positive
the new version of the dialog app is great,positive
"Here is how #telcomafia #dialoglk 
@dialoglk
 “ MyDialog App “ & “ Web User “ Terms & Conditions #7 regarding collection of user data cheatings 
@TRCSL
 no “opt-out “ given!",negative
"3 most useless things

1. Semi luxury buses
2. Neighbors love
3. @dialoglk",negative
I have been complaining about a connection issue for moths but it was not solved.,negative
I have always had good service and problems solved easily. If there was ever a problem they handled very well. I go to the local Dialog store and they have handled everything I needed.,positive
One of the best mobile service providers in the country. ,positive
Good service,positive
"Despite misgivings, we though we'd give Dialog a chance and booked broadband installation with them when we moved into out new home. They promised the cheapest deal and the fastest installation. One week before installation the contacted to say that Openreach has messed up their connection and we would have to wait an additional week. Some days later (after we had received the Dialog modem), they contacted us to say that there were no connections available in our area and so they couldn't supply the service. We had given our address, they'd accepted the contract and two weeks later we're faced with starting all over again with another firm thus delaying access to broadband even further. Incompetent hardly describes their service. Surely they should know what they can supply? Did Openreach really mess up, or did Dialog suddenly realise they couldn't fulfill their agreement with us and try to buy more space on the local cabinet? Several years ago I had issues with setting up my mobile phone contract with Dialog and it appears that they've not improved at all despite their assurances. AVOID!!!",negative
"@dialoglk I have already DM my connection no several times for the same issue. However, I'll send it again, and please check that ASAP",negative
very flexible & accommodating and helpful. ,positive
"Good service, kind staff",positive
The new look is awesome and the queues are almost gone now,positive
"Internet has been quite reliable, and it's easy to contact customer service via a chat portal.",positive
@saiyaff @dialoglk Data Add On worked 1 hour ago...!,neutral
broadband has been very good. Very occasional drops and speed is at the max I can get 66mb.,positive
" rarely have any issues. When I do, it is taken care of very quickly.",positive
Oky..Thanksâ™¥ï¸è,positive
Quick and knowledgeable service,positive
"@chamikavi @isionaria @dialoglk That's true, &amp; only other factor is coverage but if you are not moving around &amp; located somewhere in coverage its a no brainer #bell4g over @dialoglk broadband any day.",negative
Great service. New phones arrived on time and follow support call received.,positive
"@dialoglk Yes I do. If the decoder will connect via the Internet (over Dialog BB) then thatâ€™s great.

Does it have its own data connection or am I expected to pay for data on top of the connection?",positive
"The frustration I have to go through using a 
@dialoglk
 mobile connection in #Ragama area is hectic. Why is it getting worse every day? Been complaining about these issues for the past two years.

PS: I am not talking about the bandwith but the signal strength.",negative
@dialoglk any issue with the payment process ? this is the third card rejected both on the app and web,negative
Awesome thanks so much for good staff members,positive
While comparing @DialogQatar & @dialoglk i will say #DialogLK is worst in how these idiots handle our complaints.,negative
dialoglk why so pathetic??? #dialoglk #whysoslow #datathief #lk #slow #srilanka,negative
Why you do this and disconnect us from you @dialoglk? https://t.co/HZ7Iee5IGL,negative
"@frankanderic @dialoglk @TRCSL I use SLT Fibre as well, haven't noticed them doing this. There speeds are very stable across servers",negative
@AnjulaHettige @dialoglk @TRCSL At this point they aren't faking. The farther the servers are the latency will increase and the speeds will decrease. Closer the servers are the latency will be low and the speeds will increase.,negative
"So after challenging #DialogLK to a court case in this tweet thread, one of their departments just called me up and used a bullshit ""gesture of good will"" line and said they would give me the 2GB. But this publicity is not for the 2GB, it is to make them stop #cheating their customers! So don't let big or small companies cheat you. Publicize their bullshit on social media. If you have your facts right, challenge them in court. If you need advice in certain mDialogers, don't hesitate to contact me. Let's #TakeAStand against #CheatersInLK #LetsImproveSL ",negative
"Disconnected my 8 year old @dialoglk home broadband and switched to @MobitelSriLanka Broadband last month. Mainly due to the reason that FDD has better upload speeds than TDD. Except for the customer service, everything else seems to be good with Mobitel.",negative
"I just saw that my second Dialog number was expired in last December. is it possible to get it back if I reload to that? @dialoglk  try to called you, but customer service is not working. ?Ÿ™„",negative
Dialog have clearly put a lot of effort and resources into getting their broadband right and competing with the big boys and it most definitely shows.,positive
"Well, I work remotely and just moved in my new house. They assured me I'll have my broadband and everything set by the end of 18th of feburary but that it could take up to midnight. ""Don't worry, I assure you it will work etc etc"". Now I've just talked with 3 different people and it seems they will not supply the service and I will be offline till the 22nd!!!!!!!!!!!!!!!!!!!!!! I have meetings to do, I'm in industry and need internet to work. I told them how ridiculous this is and they just told me to make it better I will not be charged until I'll be online!!!! Such a huge favor!!!!! Basically they will not charge me for something I didn't get!!! That should be just obvious common sense but apparently is not automatically granted if you are dealing with Dialog!! Stay away!! I will change provider as soon as I can! Thx for nothing Dialog!! As always you prove yourself as the worst company on the market!",negative
"dialoglk Exactly, as a solution they said they'll wave off a % from the bill and reduced around Rs. 250 from the bill like we cannot pay that ?Ÿ˜‚ What we need is not a wave off but uninterrupted internet connection. We can pay the bill and @dialoglk should provide uninterrupted connection",negative
great service provided.,positive
"For 12MB, 12  minutes… shame on you.
@dialoglk Rocking https://t.co/jlDzVOpmDk",negative
"@NewsWireLK @AzzamAmeen it seems like a lot of users are keeping @dialoglk just because of the 77 / 777 number, now they can use the same number with a good network ?Ÿ˜€",negative
"Can I have at least 1Mbps @dialoglk ? 
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
Faster than other networks.,positive
Honestly negative internet speeds and poor service. Plus they overcharge for every little thing.,negative
"@dialoglk Now it's working.
And, if you check our DM you can find all these details. That's explains the number of issues you have had in your network?Ÿ˜†",positive
@AnjulaHettige @munza14 @dialoglk @TRCSL That's how they keep cheating their loyal customers.,negative
@dialoglk I sent the connection details mentioning the answer I got from help line. Answer I got and the way it was given werenâ€™t convincing and Iâ€™m still facing the same issue.,negative
"@dialoglk This looks good but I donâ€™t understand what â€œDTV installation will take placeâ€ù means. I donâ€™t want the dish nor the cable in my house; can this work on Dialog Broadband or not? 

If yes, perfect (and u guys can make that work better for my house next ;-)). If no, no dice for me.",positive
"Good customer service. Whatsapp, facebook data plan is vey useful.",positive
"Lanka &amp; @ChinaEmbSL are now trying to intercept domestic Gmail traffic via @SriLankaTelecom, @dialoglk and @MobitelSriLanka. Key targets are media, activists, lawyers and civil servants. Consider using a free encryption service like @PreVeil,@virtruprivacy or @TutanotaTeam. (1/2)",negative
@dialoglk Great so I wait another six months @NewsWireLK maybe you should journalise it considering the rip off,negative
Surprisingly good customer service. I did not expect it based on other branches.,positive
the ideabiz service is well provided,positive
Good pland for both domestic and international use.,positive
dialoglk  shame on you !! you need to respect to the service agreement.. ! you are loosing a loyal customer for last 6 years! #dialoglk #fb,negative
It's bloody annoying,negative
DTV has a good package and educational channels,positive
Best service,positive
Dialog has provided good service - prompt and competent. Great contrast to our previous provider,positive
"@dialoglk FYI @TRCSL @milindarj @irajonline @GotabayaR @Rohitha_Chichi Before providing unlimited data packages, please ask @dialoglk to provide an uninterrupted internet connection to existing users",negative
Sharing customer details public do violate privacy &confidentially policy and ethics #Dialoglk #LKA #mobile,negative
Bad decision if anyone wants to purchase a connection from these thieves.,negative
"@dialoglk Hi Shanu, I hope you are not a bot as others. since you asked, can you actually read my tweet and understand that if I have a complaint ref number that means I have already contacted your hotline..??",negative
dialog tv is great and we can activate chanells for reasonable prices,positive
Wonderful,positive
One of the worst customer service I have experienced in my life.,negative
@dialoglk data makes a bad headache even worse ?Ÿ™„,negative
Excellent,positive
"Good friendly staff, awesome experience",positive
Fast service ,positive
Poor customer service. They don't mind about customer needs. They only handle high end customers only.,negative
Dialog Branch in Grandpass is really really really slow. Can humans work this much slow?  #omg #lka #dialoglk #srilanka,negative
"dialoglk has the WORST fucking service!! Their connection is horrid and slow and customer care is just a chat bot with bogus irrelevant replies!! #dialog #dialoglk 
Does anyone ever Dialogend to customer queries @dialoglk !???",negative
@dialoglk @VihariV How much Telegram package?,neutral
admiraable srvice ,positive
Good efficient service. Good customer care also,positive
Good place for all telecommunication needs,positive
Beware @dialoglk  charges people for their STUPID ringtone service without even asking them whether they want it! THIEVES #DialogLK #SriLanka,negative
"Customer service is shocking and they consistently make mistakes. To cap it all, when I finally decided to shift my mobile contracts to another provider I'm promised a refund on my final bill and guess what? As I type this I am wasting more time on Dialog chat asking why they have not given me my refund. Useless!!!",negative
So far so good everything was on time never had a day without internet.,positive
"Dear @dialoglk, Iâ€™m trying to dowload a 29 mb video for more than 2 hours now. Iâ€™m in Gampola (Central Province). Can you give me a solution to download this video so that I can continue my work by providing feedback for an urgent video clip which needs changes?",negative
3rd class service.,negative
"his service is very reliable though I am disappointed that the max download speed averages 10.8 Mbps in my area. I would love to see the 25 Mbps they advertise for Baxley. No one I know has ever seen that. In rural America we have very limited choices, so I suppose I should be grateful that we have an advertised 12 Mbps plan from Dialog.",positive
"@dialoglk You have the worst Customer service, had an issue in my bill, called the customer care, the representative said hold on, and transferred me to the technical staff, he says he can't look into it and transferred back again to customer care. Insane.",negative
"@nHiRanZ @dialoglk Yes, since long time back.",negative
Worst company,negative
Great customer care,positive
"Been with Vodaphone a few months, Few areas where the signal isn't the best but overall no issues. Used the My Dialog rewards a few times too!",positive
